time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-09-08T13:22:12.630Z,45.6097,22.8657,5,4.6,mb,,,,0.75,us,usb000jlkt,2015-01-30T07:40:07.569Z,"1km WSW of Unirea, Romania",earthquake,,4.7,0.137,,reviewed,us_buc,us
2013-09-08T13:00:42.500Z,45.59,22.9,10,4.3,mb,,,,0.59,us,usb000jlkd,2013-11-15T03:20:29.000Z,"2km NNE of Totesti, Romania",earthquake,,5.5,0.308,,reviewed,us_buc,us
2013-08-11T13:31:08.760Z,45.7937,26.6976,100,4.3,mb,,,,1.18,us,usb000j0p4,2013-10-12T21:32:35.000Z,"1km NW of Paltin, Romania",earthquake,,7.7,0.201,,reviewed,us_buc,us
2013-03-16T00:34:18.080Z,46.189,27.096,15,4.2,mb,39,67.8,,,us,usb000flqq,2014-11-07T01:50:20.662Z,"3km WNW of Urechesti, Romania",earthquake,,,,7,reviewed,buc,us
2012-12-01T20:52:07.700Z,45.711,26.738,92.8,4.7,mb,172,18.1,,,us,usp000jwat,2015-03-24T01:48:01.562Z,"Romania",earthquake,,,,35,reviewed,buc,us
2012-07-12T02:20:23.950Z,45.723,26.526,120,4.3,mb,61,50.4,,,us,usp000jnwp,2014-11-07T01:48:18.820Z,"Romania",earthquake,,,,6,reviewed,buc,us
2012-07-06T22:48:00.460Z,45.684,26.672,112.9,4.1,mwr,111,18.6,,,us,usp000jnpf,2015-03-24T01:55:35.873Z,"Romania",earthquake,,,,,reviewed,buc,us
2012-05-26T02:30:26.420Z,45.754,26.705,120.5,4.5,mb,33,75.4,,,us,usp000jkxs,2014-11-07T01:47:52.884Z,"Romania",earthquake,,,,1,reviewed,buc,us
2012-01-10T18:25:45.990Z,45.495,26.293,139.9,4.5,mb,74,33.5,,,us,usp000jdap,2014-11-07T01:46:45.968Z,"Romania",earthquake,,,,11,reviewed,buc,us
2012-01-01T23:57:19.400Z,45.03,23.54,6,4.5,mb,97,26.6,,,us,usp000jcy5,2015-03-24T01:24:30.030Z,"Romania",earthquake,,,,16,reviewed,buc,us
2011-10-04T02:40:48.350Z,45.542,26.463,133.9,4.7,mb,241,19.5,,,us,usp000j8wd,2015-03-24T01:41:35.278Z,"Romania",earthquake,,,,81,reviewed,buc,us
2011-09-08T13:50:32.400Z,45.65,26.57,114,4.2,mb,9,118.6,,,us,usp000j7ss,2014-11-07T01:45:51.485Z,"Romania",earthquake,,,,5,reviewed,buc,us
2011-06-24T13:08:40.000Z,47.38,25.81,6,4.4,mb,35,42.6,,,us,usp000j3p3,2014-11-07T01:45:09.776Z,"Romania",earthquake,,,,3,reviewed,buc,us
2011-05-01T02:24:16.060Z,45.584,26.455,137.5,4.6,mb,207,15,,,us,usp000j0uj,2015-03-24T01:45:04.862Z,"Romania",earthquake,,,,55,reviewed,buc,us
2010-09-30T05:31:22.580Z,45.539,26.249,135.2,4.5,mb,82,29.9,,0.85,us,usp000hmcw,2015-03-24T02:10:12.906Z,"Romania",earthquake,,,,7,reviewed,us,us
2010-06-08T15:16:09.820Z,45.621,26.369,107.7,4.5,mb,85,30.4,,0.9,us,usp000hdr6,2015-03-24T01:09:32.573Z,"Romania",earthquake,,,,17,reviewed,us,us
2009-12-26T23:04:39.490Z,45.75,26.718,102.3,4.5,mb,67,27.4,,,us,usp000h5d7,2014-11-07T01:40:18.841Z,"Romania",earthquake,,,,11,reviewed,buc,us
2009-12-06T20:15:44.000Z,45.421,27.032,20,4.5,mb,61,39.8,,,us,usp000h4tq,2014-11-07T01:40:14.701Z,"Romania",earthquake,,,,5,reviewed,buc,us
2009-07-24T20:27:09.850Z,45.713,26.472,132.6,4.5,mb,51,81.5,,1.06,us,usp000gzkf,2014-11-07T01:39:21.179Z,"Romania",earthquake,,,,17,reviewed,us,us
2009-04-25T17:18:48.640Z,45.654,26.606,100.7,5.2,mwb,355,13.9,,,us,usp000gwk1,2016-11-10T02:11:20.257Z,"Romania",earthquake,,,,,reviewed,buc,us
2008-12-17T07:37:50.270Z,45.682,26.478,86.1,4.3,m,22,84.9,,,us,usp000gqsh,2014-11-07T01:37:58.825Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-12-01T21:23:04.120Z,45.672,26.54,146.5,4.1,md,58,22.1,,,us,usp000gpsc,2014-11-07T01:37:51.807Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-10-20T11:03:02.450Z,45.868,26.856,73.6,3.9,m,21,52.4,,,us,usp000gknm,2014-11-07T01:37:30.747Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-10-15T13:39:18.690Z,45.622,26.456,138.7,4,mb,17,61.8,,,us,usp000gkac,2014-11-07T01:37:29.365Z,"Romania",earthquake,,,,1,reviewed,buc,us
2008-10-02T14:04:48.350Z,45.707,26.572,151.5,3.9,mb,17,84.5,,0.68,us,usp000gj5g,2014-11-07T01:37:22.061Z,"Romania",earthquake,,7.5,,1,reviewed,us,us
